transaction_id,payment_id,invoice_id,expected_match_type,expected_exception_type,expected_date_difference,expected_amount_match,expected_ledger_status,expected_payment_status,expected_final_decision
TXN0001,PAY0001,INV0001,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0002,PAY0002,INV0002,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0003,PAY0003,INV0003,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0004,PAY0004,INV0004,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0005,PAY0005,INV0005,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0006,PAY0006,INV0006,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0007,PAY0007,INV0007,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0008,PAY0008,INV0008,PARTIAL,PAYMENT_REFUNDED,0,True,POSTED,REFUNDED,PAYMENT_REFUNDED
TXN0009,PAY0009,INV0009,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0010,PAY0010,INV0010,FUZZY,AMOUNT_MISMATCH,0,False,POSTED,SUCCESS,AMOUNT_MISMATCH
TXN0011,PAY0011,INV0011,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0012,PAY0012,INV0012,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0013,PAY0013,INV0013,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0014,PAY0014,INV0014,FUZZY,SETTLEMENT_DELAY,5,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0015,PAY0015,INV0015,FUZZY,SETTLEMENT_DELAY,2,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0016,PAY0016,INV0016,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0017,PAY0017,INV0017,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0018,PAY0018,INV0018,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0019,PAY0019,INV0019,FUZZY,DUPLICATE_PAYMENT,0,True,POSTED,SUCCESS,DUPLICATE_PAYMENT
TXN0020,PAY0020,INV0020,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0021,PAY0021,INV0021,FUZZY,SETTLEMENT_DELAY,22,True,POSTED,SUCCESS,SETTLEMENT_DELAY
TXN0022,PAY0022,INV0022,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0023,PAY0023,INV0023,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0024,PAY0024,INV0024,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0025,PAY0025,INV0025,FUZZY,LEDGER_PENDING,0,True,PENDING,SUCCESS,LEDGER_PENDING
TXN0026,PAY0026,INV0026,EXACT,NONE,0,True,POSTED,SUCCESS,CLEAN_MATCH
TXN0027,PAY0027,INV0027,FUZZY,SETTLEMENT_DELAY,1,True,POSTED,SUCCESS,SETTLEMENT_DELAY
