transaction_id,transaction_date,value_date,amount,currency,description,reference,account_id,transaction_type,normalized_reference,normalized_amount,normalized_transaction_date,normalized_description
TXN0001,2026-04-18,2026-04-18,194659.82,INR,NEFT CR-GW-188297-Stripe SETTLEMENT-CUST0322,CMS/GW-188297/STRIPE/CUST0322,BANK001,CREDIT,GW-188297,194659.82,2026-04-18,NEFT CR-GW-188297-STRIPE SETTLEMENT-CUST0322
TXN0002,2026-03-01,2026-03-02,16452.59,INR,NEFT CR-GW-189691-Razorpay SETTLEMENT-CUST0274,CMS/GW-189691/RAZORPAY/CUST0274,BANK002,CREDIT,GW-189691,16452.59,2026-03-01,NEFT CR-GW-189691-RAZORPAY SETTLEMENT-CUST0274
TXN0003,2026-06-02,2026-06-03,41110.22,INR,NEFT CR-GW-297863-Cashfree SETTLEMENT-CUST0022,CMS/GW-297863/CASHFREE/CUST0022,BANK002,CREDIT,GW-297863,41110.22,2026-06-02,NEFT CR-GW-297863-CASHFREE SETTLEMENT-CUST0022
TXN0004,2026-01-21,2026-01-22,38215.48,INR,NEFT CR-GW-103613-Stripe SETTLEMENT-CUST0043,CMS/GW-103613/STRIPE/CUST0043,BANK003,CREDIT,GW-103613,38215.48,2026-01-21,NEFT CR-GW-103613-STRIPE SETTLEMENT-CUST0043
TXN0005,2026-06-06,2026-06-07,1616.7,INR,NEFT CR-GW-746923-PayU SETTLEMENT-CUST0079,CMS/GW-746923/PAYU/CUST0079,BANK002,CREDIT,GW-746923,1616.7,2026-06-06,NEFT CR-GW-746923-PAYU SETTLEMENT-CUST0079
TXN0006,2026-05-23,2026-05-24,69840.43,INR,NEFT CR-GW-916889-Razorpay SETTLEMENT-CUST0062,CMS/GW-916889/RAZORPAY/CUST0062,BANK003,CREDIT,GW-916889,69840.43,2026-05-23,NEFT CR-GW-916889-RAZORPAY SETTLEMENT-CUST0062
TXN0007,2026-02-16,2026-02-16,187773.26,INR,NEFT CR-GW-285328-PayU SETTLEMENT-CUST0116,CMS/GW-285328/PAYU/CUST0116,BANK002,CREDIT,GW-285328,187773.26,2026-02-16,NEFT CR-GW-285328-PAYU SETTLEMENT-CUST0116
TXN0008,2026-06-03,2026-06-04,168333.25,INR,NEFT CR-GW-976238-PayU SETTLEMENT-CUST0210,CMS/GW-976238/PAYU/CUST0210,BANK002,CREDIT,GW-976238,168333.25,2026-06-03,NEFT CR-GW-976238-PAYU SETTLEMENT-CUST0210
TXN0009,2026-05-23,2026-05-24,32890.57,INR,NEFT CR-GW-763949-Cashfree SETTLEMENT-CUST0075,CMS/GW-763949/CASHFREE/CUST0075,BANK002,CREDIT,GW-763949,32890.57,2026-05-23,NEFT CR-GW-763949-CASHFREE SETTLEMENT-CUST0075
TXN0010,2026-06-26,2026-06-26,10973.57,INR,NEFT CR-GW-779713-PayU SETTLEMENT-CUST0049,CMS/GW-779713/PAYU/CUST0049,BANK002,CREDIT,GW-779713,10973.57,2026-06-26,NEFT CR-GW-779713-PAYU SETTLEMENT-CUST0049
TXN0011,2026-07-02,2026-07-02,179950.63,INR,NEFT CR-GW-112324-PayU SETTLEMENT-CUST0287,CMS/GW-112324/PAYU/CUST0287,BANK002,CREDIT,GW-112324,179950.63,2026-07-02,NEFT CR-GW-112324-PAYU SETTLEMENT-CUST0287
TXN0012,2026-02-27,2026-02-27,17456.51,INR,NEFT CR-GW-200236-Razorpay SETTLEMENT-CUST0010,CMS/GW-200236/RAZORPAY/CUST0010,BANK001,CREDIT,GW-200236,17456.51,2026-02-27,NEFT CR-GW-200236-RAZORPAY SETTLEMENT-CUST0010
TXN0013,2026-06-23,2026-06-23,6685.64,INR,NEFT CR-GW-384032-Razorpay SETTLEMENT-CUST0311,CMS/GW-384032/RAZORPAY/CUST0311,BANK003,CREDIT,GW-384032,6685.64,2026-06-23,NEFT CR-GW-384032-RAZORPAY SETTLEMENT-CUST0311
TXN0014,2026-04-03,2026-04-04,39044.23,INR,NEFT CR-GW-239706-Cashfree SETTLEMENT-CUST0340,CMS/GW-239706/CASHFREE/CUST0340,BANK001,CREDIT,GW-239706,39044.23,2026-04-03,NEFT CR-GW-239706-CASHFREE SETTLEMENT-CUST0340
TXN0015,2026-03-14,2026-03-15,86502.52,INR,NEFT CR-GW-606039-PayU SETTLEMENT-CUST0189,CMS/GW-606039/PAYU/CUST0189,BANK003,CREDIT,GW-606039,86502.52,2026-03-14,NEFT CR-GW-606039-PAYU SETTLEMENT-CUST0189
TXN0016,2026-04-08,2026-04-09,171118.82,INR,NEFT CR-GW-738955-Razorpay SETTLEMENT-CUST0174,CMS/GW-738955/RAZORPAY/CUST0174,BANK001,CREDIT,GW-738955,171118.82,2026-04-08,NEFT CR-GW-738955-RAZORPAY SETTLEMENT-CUST0174
TXN0017,2026-05-12,2026-05-12,173094.18,INR,NEFT CR-GW-481415-PayU SETTLEMENT-CUST0220,CMS/GW-481415/PAYU/CUST0220,BANK003,CREDIT,GW-481415,173094.18,2026-05-12,NEFT CR-GW-481415-PAYU SETTLEMENT-CUST0220
TXN0018,2026-07-06,2026-07-07,3779.34,INR,NEFT CR-GW-393986-Razorpay SETTLEMENT-CUST0283,CMS/GW-393986/RAZORPAY/CUST0283,BANK001,CREDIT,GW-393986,3779.34,2026-07-06,NEFT CR-GW-393986-RAZORPAY SETTLEMENT-CUST0283
TXN0019,2026-05-26,2026-05-27,15581.54,INR,NEFT CR-GW-297042-PayU SETTLEMENT-CUST0061,CMS/GW-297042/PAYU/CUST0061,BANK003,CREDIT,GW-297042,15581.54,2026-05-26,NEFT CR-GW-297042-PAYU SETTLEMENT-CUST0061
