transaction_id,payment_id,bank_reference,normalized_reference,bank_amount,payment_amount,match_status,reason
TXN0001,PAY0001,CMS/GW-188297/STRIPE/CUST0322,GW-188297,194659.82,194659.82,MATCHED,Bank reference and amount matched payment record.
TXN0002,PAY0002,CMS/GW-189691/RAZORPAY/CUST0274,GW-189691,16452.59,16452.59,MATCHED,Bank reference and amount matched payment record.
TXN0003,PAY0003,CMS/GW-297863/CASHFREE/CUST0022,GW-297863,41110.22,41110.22,MATCHED,Bank reference and amount matched payment record.
TXN0004,PAY0074,CMS/GW-103613/STRIPE/CUST0043,GW-103613,38215.48,38215.48,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0005,PAY0005,CMS/GW-746923/PAYU/CUST0079,GW-746923,1616.7,1616.7,MATCHED,Bank reference and amount matched payment record.
TXN0006,PAY0006,CMS/GW-916889/RAZORPAY/CUST0062,GW-916889,69840.43,69840.43,MATCHED,Bank reference and amount matched payment record.
TXN0007,PAY0007,CMS/GW-285328/PAYU/CUST0116,GW-285328,187773.26,187773.26,MATCHED,Bank reference and amount matched payment record.
TXN0008,PAY0008,CMS/GW-976238/PAYU/CUST0210,GW-976238,168333.25,168333.25,MATCHED,Bank reference and amount matched payment record.
TXN0009,PAY0009,CMS/GW-763949/CASHFREE/CUST0075,GW-763949,32890.57,32890.57,MATCHED,Bank reference and amount matched payment record.
TXN0010,PAY0010,CMS/GW-779713/PAYU/CUST0049,GW-779713,10973.57,21947.13,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ.
TXN0011,PAY0011,CMS/GW-112324/PAYU/CUST0287,GW-112324,179950.63,179950.63,MATCHED,Bank reference and amount matched payment record.
TXN0012,PAY0012,CMS/GW-200236/RAZORPAY/CUST0010,GW-200236,17456.51,17456.51,MATCHED,Bank reference and amount matched payment record.
TXN0013,PAY0013,CMS/GW-384032/RAZORPAY/CUST0311,GW-384032,6685.64,6685.64,MATCHED,Bank reference and amount matched payment record.
TXN0014,PAY0014,CMS/GW-239706/CASHFREE/CUST0340,GW-239706,39044.23,39044.23,MATCHED,Bank reference and amount matched payment record.
TXN0015,PAY0015,CMS/GW-606039/PAYU/CUST0189,GW-606039,86502.52,86502.52,MATCHED,Bank reference and amount matched payment record.
TXN0016,PAY0016,CMS/GW-738955/RAZORPAY/CUST0174,GW-738955,171118.82,171118.82,MATCHED,Bank reference and amount matched payment record.
TXN0017,PAY0017,CMS/GW-481415/PAYU/CUST0220,GW-481415,173094.18,173094.18,MATCHED,Bank reference and amount matched payment record.
TXN0018,PAY0018,CMS/GW-393986/RAZORPAY/CUST0283,GW-393986,3779.34,3779.34,MATCHED,Bank reference and amount matched payment record.
TXN0019,PAY0186,CMS/GW-297042/PAYU/CUST0061,GW-297042,15581.54,15581.54,DUPLICATE_PAYMENT,Bank reference points to a payment already legitimately associated with another transaction.
TXN0020,PAY0020,CMS/GW-714475/PAYU/CUST0383,GW-714475,4550.59,4550.59,MATCHED,Bank reference and amount matched payment record.
TXN0021,PAY0021,CMS/GW-266213/PAYU/CUST0217,GW-266213,159394.71,159394.71,MATCHED,Bank reference and amount matched payment record.
TXN0022,PAY0022,CMS/GW-849528/PAYU/CUST0323,GW-849528,3229.74,3229.74,MATCHED,Bank reference and amount matched payment record.
TXN0023,PAY0023,CMS/GW-517649/PAYU/CUST0222,GW-517649,60650.6,60650.6,MATCHED,Bank reference and amount matched payment record.
TXN0024,PAY0024,CMS/GW-891576/PAYU/CUST0250,GW-891576,4069.99,4069.99,MATCHED,Bank reference and amount matched payment record.
TXN0025,PAY0025,CMS/GW-691793/CASHFREE/CUST0280,GW-691793,4758.83,4758.83,MATCHED,Bank reference and amount matched payment record.
TXN0026,PAY0026,CMS/GW-885310/RAZORPAY/CUST0012,GW-885310,30052.23,30052.23,MATCHED,Bank reference and amount matched payment record.
TXN0027,PAY0027,CMS/GW-539214/PAYU/CUST0079,GW-539214,19339.28,19339.28,MATCHED,Bank reference and amount matched payment record.
TXN0028,PAY0028,CMS/GW-655260/RAZORPAY/CUST0394,GW-655260,12632.38,12632.38,MATCHED,Bank reference and amount matched payment record.
TXN0029,PAY0029,CMS/GW-944984/PAYU/CUST0393,GW-944984,3111.55,3111.55,MATCHED,Bank reference and amount matched payment record.
TXN0030,PAY0030,CMS/GW-650210/STRIPE/CUST0414,GW-650210,4123.39,4123.39,MATCHED,Bank reference and amount matched payment record.
TXN0031,PAY0031,CMS/GW-981743/CASHFREE/CUST0112,GW-981743,4113.83,4113.83,MATCHED,Bank reference and amount matched payment record.
TXN0032,PAY0032,CMS/GW-674046/STRIPE/CUST0087,GW-674046,58976.08,58976.08,MATCHED,Bank reference and amount matched payment record.
TXN0033,PAY0033,CMS/GW-279907/STRIPE/CUST0275,GW-279907,146705.82,146705.82,MATCHED,Bank reference and amount matched payment record.
TXN0034,PAY0034,CMS/GW-962732/STRIPE/CUST0143,GW-962732,6848.31,6848.31,MATCHED,Bank reference and amount matched payment record.
TXN0035,PAY0035,CMS/GW-637197/PAYU/CUST0282,GW-637197,139762.26,139762.26,MATCHED,Bank reference and amount matched payment record.
TXN0036,PAY0036,CMS/GW-129939/RAZORPAY/CUST0060,GW-129939,16883.21,16893.21,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ.
TXN0037,PAY0037,CMS/GW-254804/PAYU/CUST0242,GW-254804,4795.26,4795.26,MATCHED,Bank reference and amount matched payment record.
TXN0038,PAY0038,CMS/GW-387007/CASHFREE/CUST0196,GW-387007,179833.65,179833.65,MATCHED,Bank reference and amount matched payment record.
TXN0039,PAY0039,CMS/GW-833011/STRIPE/CUST0379,GW-833011,2612.75,2612.75,MATCHED,Bank reference and amount matched payment record.
TXN0040,PAY0040,CMS/GW-827299/CASHFREE/CUST0410,GW-827299,60449.68,60449.68,MATCHED,Bank reference and amount matched payment record.
TXN0041,PAY0041,CMS/GW-767277/CASHFREE/CUST0261,GW-767277,21495.63,21495.63,MATCHED,Bank reference and amount matched payment record.
TXN0042,PAY0042,CMS/GW-972078/PAYU/CUST0264,GW-972078,79121.27,79121.27,MATCHED,Bank reference and amount matched payment record.
TXN0043,PAY0043,CMS/GW-212187/RAZORPAY/CUST0270,GW-212187,176041.58,176041.58,MATCHED,Bank reference and amount matched payment record.
TXN0044,PAY0044,CMS/GW-516855/STRIPE/CUST0202,GW-516855,2459.51,2459.51,MATCHED,Bank reference and amount matched payment record.
TXN0045,PAY0045,CMS/GW-204379/CASHFREE/CUST0121,GW-204379,6934.26,6934.26,MATCHED,Bank reference and amount matched payment record.
TXN0046,PAY0046,CMS/GW-890193/CASHFREE/CUST0093,GW-890193,2058.94,2058.94,MATCHED,Bank reference and amount matched payment record.
TXN0047,PAY0047,CMS/GW-548947/STRIPE/CUST0449,GW-548947,2740.43,2740.43,MATCHED,Bank reference and amount matched payment record.
TXN0048,PAY0048,CMS/GW-482619/STRIPE/CUST0180,GW-482619,110975.23,110975.23,MATCHED,Bank reference and amount matched payment record.
TXN0049,PAY0049,CMS/GW-682503/RAZORPAY/CUST0440,GW-682503,101753.71,101753.71,MATCHED,Bank reference and amount matched payment record.
TXN0050,PAY0050,CMS/GW-215681/PAYU/CUST0437,GW-215681,57481.25,57481.25,MATCHED,Bank reference and amount matched payment record.
TXN0051,PAY0051,CMS/GW-490729/RAZORPAY/CUST0163,GW-490729,135412.14,135412.14,MATCHED,Bank reference and amount matched payment record.
TXN0052,PAY0052,CMS/GW-732490/RAZORPAY/CUST0008,GW-732490,81202.44,81202.44,MATCHED,Bank reference and amount matched payment record.
TXN0053,PAY0053,CMS/GW-339996/RAZORPAY/CUST0222,GW-339996,22295.29,22295.29,MATCHED,Bank reference and amount matched payment record.
TXN0054,PAY0054,CMS/GW-828496/RAZORPAY/CUST0347,GW-828496,92971.23,92971.23,MATCHED,Bank reference and amount matched payment record.
TXN0055,PAY0055,CMS/GW-534795/RAZORPAY/CUST0226,GW-534795,190671.09,190671.09,MATCHED,Bank reference and amount matched payment record.
TXN0056,PAY0056,CMS/GW-916072/PAYU/CUST0025,GW-916072,13251.73,13251.73,MATCHED,Bank reference and amount matched payment record.
TXN0057,PAY0057,CMS/GW-302713/RAZORPAY/CUST0494,GW-302713,33757.57,33757.57,MATCHED,Bank reference and amount matched payment record.
TXN0058,PAY0058,CMS/GW-418384/RAZORPAY/CUST0496,GW-418384,40204.74,40204.74,MATCHED,Bank reference and amount matched payment record.
