invoice_id,customer_id,invoice_date,due_date,invoice_amount,currency,description,invoice_status,normalized_invoice_amount,normalized_invoice_date,normalized_due_date
INV0001,CUST0322,2026-04-16,2026-05-01,194659.82,INR,Logistics & Freight Services,Paid,194659.82,2026-04-16,2026-05-01
INV0002,CUST0274,2026-02-25,2026-04-11,16452.59,INR,Cybersecurity Audit,Paid,16452.59,2026-02-25,2026-04-11
INV0003,CUST0022,2026-06-01,2026-07-16,41110.22,INR,Annual Maintenance Contract,Paid,41110.22,2026-06-01,2026-07-16
INV0004,CUST0416,2026-05-18,2026-06-02,3748.91,INR,Cloud Infrastructure Hosting,Paid,3748.91,2026-05-18,2026-06-02
INV0005,CUST0079,2026-06-03,2026-07-18,1616.7,INR,Cloud Infrastructure Hosting,Paid,1616.7,2026-06-03,2026-07-18
INV0006,CUST0062,2026-05-23,2026-07-07,69840.43,INR,Data Analytics Module,Paid,69840.43,2026-05-23,2026-07-07
INV0007,CUST0116,2026-02-13,2026-03-15,187773.26,INR,Data Analytics Module,Paid,187773.26,2026-02-13,2026-03-15
INV0008,CUST0210,2026-06-01,2026-07-01,168333.25,INR,Logistics & Freight Services,Pending,168333.25,2026-06-01,2026-07-01
INV0009,CUST0075,2026-05-20,2026-07-04,32890.57,INR,Cybersecurity Audit,Paid,32890.57,2026-05-20,2026-07-04
INV0010,CUST0049,2026-06-23,2026-07-23,21947.13,INR,SaaS Subscription,Partially_Paid,21947.13,2026-06-23,2026-07-23
INV0011,CUST0287,2026-06-29,2026-07-29,179950.63,INR,Enterprise License Fee,Paid,179950.63,2026-06-29,2026-07-29
INV0012,CUST0010,2026-02-23,2026-03-25,17456.51,INR,Logistics & Freight Services,Paid,17456.51,2026-02-23,2026-03-25
INV0013,CUST0311,2026-06-22,2026-07-07,6685.64,INR,SaaS Subscription,Paid,6685.64,2026-06-22,2026-07-07
INV0014,CUST0340,2026-03-29,2026-04-28,39044.23,INR,Data Analytics Module,Paid,39044.23,2026-03-29,2026-04-28
INV0015,CUST0189,2026-03-12,2026-04-26,86502.52,INR,API Integration Fee,Paid,86502.52,2026-03-12,2026-04-26
INV0016,CUST0174,2026-04-03,2026-04-18,171118.82,INR,SaaS Subscription,Paid,171118.82,2026-04-03,2026-04-18
INV0017,CUST0220,2026-05-11,2026-06-25,173094.18,INR,API Integration Fee,Paid,173094.18,2026-05-11,2026-06-25
INV0018,CUST0283,2026-06-30,2026-07-15,3779.34,INR,IT Consulting Services,Paid,3779.34,2026-06-30,2026-07-15
INV0019,CUST0235,2026-02-13,2026-02-28,129670.07,INR,API Integration Fee,Paid,129670.07,2026-02-13,2026-02-28
INV0020,CUST0383,2026-04-15,2026-04-30,4550.59,INR,Logistics & Freight Services,Paid,4550.59,2026-04-15,2026-04-30
INV0021,CUST0217,2026-06-19,2026-07-19,159394.71,INR,Cybersecurity Audit,Paid,159394.71,2026-06-19,2026-07-19
INV0022,CUST0323,2026-04-23,2026-06-07,3229.74,INR,Cloud Infrastructure Hosting,Paid,3229.74,2026-04-23,2026-06-07
INV0023,CUST0222,2026-02-18,2026-03-20,60650.6,INR,Data Analytics Module,Paid,60650.6,2026-02-18,2026-03-20
INV0024,CUST0250,2026-02-05,2026-02-20,4069.99,INR,Cloud Infrastructure Hosting,Paid,4069.99,2026-02-05,2026-02-20
