ledger_id,ledger_date,invoice_id,customer_id,amount,currency,account_code,entry_type,description,reference,posting_status,normalized_amount,normalized_ledger_date
LEDG0001,2026-04-16,INV0001,CUST0322,194659.82,INR,AR001,CREDIT,Payment receipt for INV0001 via Stripe,REC-INV0001-PAY0001,POSTED,194659.82,2026-04-16
LEDG0002,2026-03-02,INV0002,CUST0274,16452.59,INR,AR001,CREDIT,Payment receipt for INV0002 via Razorpay,REC-INV0002-PAY0002,PENDING,16452.59,2026-03-02
LEDG0003,2026-06-03,INV0003,CUST0022,41110.22,INR,AR001,CREDIT,Payment receipt for INV0003 via Cashfree,REC-INV0003-PAY0003,POSTED,41110.22,2026-06-03
LEDG0004,2026-05-18,INV0004,CUST0416,3748.91,INR,AR001,CREDIT,Payment receipt for INV0004 via Razorpay,REC-INV0004-PAY0004,POSTED,3748.91,2026-05-18
LEDG0005,2026-06-07,INV0005,CUST0079,1616.7,INR,AR001,CREDIT,Payment receipt for INV0005 via PayU,REC-INV0005-PAY0005,POSTED,1616.7,2026-06-07
LEDG0006,2026-05-24,INV0006,CUST0062,69840.43,INR,AR001,CREDIT,Payment receipt for INV0006 via Razorpay,REC-INV0006-PAY0006,POSTED,69840.43,2026-05-24
LEDG0007,2026-02-17,INV0007,CUST0116,187773.26,INR,AR001,CREDIT,Payment receipt for INV0007 via PayU,REC-INV0007-PAY0007,POSTED,187773.26,2026-02-17
LEDG0008,2026-06-04,INV0008,CUST0210,168333.25,INR,AR001,CREDIT,Payment receipt for INV0008 via PayU,REC-INV0008-PAY0008,POSTED,168333.25,2026-06-04
LEDG0009,2026-05-23,INV0009,CUST0075,32890.57,INR,AR001,CREDIT,Payment receipt for INV0009 via Cashfree,REC-INV0009-PAY0009,POSTED,32890.57,2026-05-23
LEDG0010,2026-06-26,INV0010,CUST0049,21947.13,INR,AR001,CREDIT,Payment receipt for INV0010 via PayU,REC-INV0010-PAY0010,POSTED,21947.13,2026-06-26
LEDG0011,2026-07-03,INV0011,CUST0287,179950.63,INR,AR001,CREDIT,Payment receipt for INV0011 via PayU,REC-INV0011-PAY0011,POSTED,179950.63,2026-07-03
LEDG0012,2026-02-28,INV0012,CUST0010,17456.51,INR,AR001,CREDIT,Payment receipt for INV0012 via Razorpay,REC-INV0012-PAY0012,POSTED,17456.51,2026-02-28
LEDG0013,2026-06-23,INV0013,CUST0311,6685.64,INR,AR001,CREDIT,Payment receipt for INV0013 via Razorpay,REC-INV0013-PAY0013,POSTED,6685.64,2026-06-23
LEDG0014,2026-03-30,INV0014,CUST0340,39044.23,INR,AR001,CREDIT,Payment receipt for INV0014 via Cashfree,REC-INV0014-PAY0014,POSTED,39044.23,2026-03-30
LEDG0015,2026-03-13,INV0015,CUST0189,86502.52,INR,AR001,CREDIT,Payment receipt for INV0015 via PayU,REC-INV0015-PAY0015,POSTED,86502.52,2026-03-13
LEDG0016,2026-04-08,INV0016,CUST0174,171118.82,INR,AR001,CREDIT,Payment receipt for INV0016 via Razorpay,REC-INV0016-PAY0016,POSTED,171118.82,2026-04-08
LEDG0017,2026-05-12,INV0017,CUST0220,173094.18,INR,AR001,CREDIT,Payment receipt for INV0017 via PayU,REC-INV0017-PAY0017,POSTED,173094.18,2026-05-12
LEDG0018,2026-07-06,INV0018,CUST0283,3779.34,INR,AR001,CREDIT,Payment receipt for INV0018 via Razorpay,REC-INV0018-PAY0018,POSTED,3779.34,2026-07-06
LEDG0019,2026-02-18,INV0019,CUST0235,129670.07,INR,AR001,CREDIT,Payment receipt for INV0019 via Razorpay,REC-INV0019-PAY0019,POSTED,129670.07,2026-02-18
LEDG0020,2026-04-15,INV0020,CUST0383,4550.59,INR,AR001,CREDIT,Payment receipt for INV0020 via PayU,REC-INV0020-PAY0020,POSTED,4550.59,2026-04-15
LEDG0021,2026-06-20,INV0021,CUST0217,159394.71,INR,AR001,CREDIT,Payment receipt for INV0021 via PayU,REC-INV0021-PAY0021,POSTED,159394.71,2026-06-20
LEDG0022,2026-04-23,INV0022,CUST0323,3229.74,INR,AR001,CREDIT,Payment receipt for INV0022 via PayU,REC-INV0022-PAY0022,POSTED,3229.74,2026-04-23
LEDG0023,2026-02-21,INV0023,CUST0222,60650.6,INR,AR001,CREDIT,Payment receipt for INV0023 via PayU,REC-INV0023-PAY0023,POSTED,60650.6,2026-02-21
LEDG0024,2026-02-11,INV0024,CUST0250,4069.99,INR,AR001,CREDIT,Payment receipt for INV0024 via PayU,REC-INV0024-PAY0024,POSTED,4069.99,2026-02-11
LEDG0025,2026-05-16,INV0025,CUST0280,4758.83,INR,AR001,CREDIT,Payment receipt for INV0025 via Cashfree,REC-INV0025-PAY0025,PENDING,4758.83,2026-05-16
LEDG0026,2026-02-10,INV0026,CUST0012,30052.23,INR,AR001,CREDIT,Payment receipt for INV0026 via Razorpay,REC-INV0026-PAY0026,POSTED,30052.23,2026-02-10
LEDG0027,2026-03-25,INV0027,CUST0079,19339.28,INR,AR001,CREDIT,Payment receipt for INV0027 via PayU,REC-INV0027-PAY0027,POSTED,19339.28,2026-03-25
LEDG0028,2026-02-03,INV0028,CUST0394,12632.38,INR,AR001,CREDIT,Payment receipt for INV0028 via Razorpay,REC-INV0028-PAY0028,POSTED,12632.38,2026-02-03
LEDG0029,2026-04-26,INV0029,CUST0393,3111.55,INR,AR001,CREDIT,Payment receipt for INV0029 via PayU,REC-INV0029-PAY0029,POSTED,3111.55,2026-04-26
LEDG0030,2026-01-31,INV0030,CUST0414,4123.39,INR,AR001,CREDIT,Payment receipt for INV0030 via Stripe,REC-INV0030-PAY0030,POSTED,4123.39,2026-01-31
LEDG0031,2026-07-03,INV0031,CUST0112,4113.83,INR,AR001,CREDIT,Payment receipt for INV0031 via Cashfree,REC-INV0031-PAY0031,POSTED,4113.83,2026-07-03
LEDG0032,2026-06-17,INV0032,CUST0087,58976.08,INR,AR001,CREDIT,Payment receipt for INV0032 via Stripe,REC-INV0032-PAY0032,POSTED,58976.08,2026-06-17
LEDG0033,2026-04-17,INV0033,CUST0275,146705.82,INR,AR001,CREDIT,Payment receipt for INV0033 via Stripe,REC-INV0033-PAY0033,POSTED,146705.82,2026-04-17
LEDG0034,2026-06-19,INV0034,CUST0143,6848.31,INR,AR001,CREDIT,Payment receipt for INV0034 via Stripe,REC-INV0034-PAY0034,POSTED,6848.31,2026-06-19
LEDG0035,2026-02-05,INV0035,CUST0282,139762.26,INR,AR001,CREDIT,Payment receipt for INV0035 via PayU,REC-INV0035-PAY0035,POSTED,139762.26,2026-02-05
LEDG0036,2026-04-09,INV0036,CUST0060,16893.21,INR,AR001,CREDIT,Payment receipt for INV0036 via Razorpay,REC-INV0036-PAY0036,POSTED,16893.21,2026-04-09
LEDG0037,2026-02-15,INV0037,CUST0242,4795.26,INR,AR001,CREDIT,Payment receipt for INV0037 via PayU,REC-INV0037-PAY0037,POSTED,4795.26,2026-02-15
LEDG0038,2026-06-13,INV0038,CUST0196,179833.65,INR,AR001,CREDIT,Payment receipt for INV0038 via Cashfree,REC-INV0038-PAY0038,POSTED,179833.65,2026-06-13
LEDG0039,2026-06-11,INV0039,CUST0379,2612.75,INR,AR001,CREDIT,Payment receipt for INV0039 via Stripe,REC-INV0039-PAY0039,POSTED,2612.75,2026-06-11
LEDG0040,2026-01-30,INV0040,CUST0410,60449.68,INR,AR001,CREDIT,Payment receipt for INV0040 via Cashfree,REC-INV0040-PAY0040,POSTED,60449.68,2026-01-30
LEDG0041,2026-03-22,INV0041,CUST0261,21495.63,INR,AR001,CREDIT,Payment receipt for INV0041 via Cashfree,REC-INV0041-PAY0041,POSTED,21495.63,2026-03-22
LEDG0042,2026-04-02,INV0042,CUST0264,79121.27,INR,AR001,CREDIT,Payment receipt for INV0042 via PayU,REC-INV0042-PAY0042,POSTED,79121.27,2026-04-02
LEDG0043,2026-04-23,INV0043,CUST0270,176041.58,INR,AR001,CREDIT,Payment receipt for INV0043 via Razorpay,REC-INV0043-PAY0043,POSTED,176041.58,2026-04-23
LEDG0044,2026-05-02,INV0044,CUST0202,2459.51,INR,AR001,CREDIT,Payment receipt for INV0044 via Stripe,REC-INV0044-PAY0044,POSTED,2459.51,2026-05-02
LEDG0045,2026-03-28,INV0045,CUST0121,6934.26,INR,AR001,CREDIT,Payment receipt for INV0045 via Cashfree,REC-INV0045-PAY0045,POSTED,6934.26,2026-03-28
LEDG0046,2026-02-06,INV0046,CUST0093,2058.94,INR,AR001,CREDIT,Payment receipt for INV0046 via Cashfree,REC-INV0046-PAY0046,POSTED,2058.94,2026-02-06
LEDG0047,2026-01-21,INV0047,CUST0449,2740.43,INR,AR001,CREDIT,Payment receipt for INV0047 via Stripe,REC-INV0047-PAY0047,PENDING,2740.43,2026-01-21
