transaction_id,payment_id,final_status,reason,amount_match,date_match,ledger_found,ledger_status,payment_status,date_difference,amount_difference,absolute_amount_difference,date_diff,exception_type,date_severity,risk_level,recommended_action,is_exception,bank_amount,payment_amount,normalized_reference,match_status,amount_difference_pct,same_transaction_payment_numeric_id,has_payment_id,transaction_payment_id_delta,has_normalized_reference,high_attention,ml_risk_probability,ml_prediction,ml_risk_level,ml_reason
TXN0001,PAY0001,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0,2.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,194659.82,194659.82,GW-188297,MATCHED,0.0,True,1,0,YES,0,0.0359,0,LOW,No major deterministic risk factor detected
TXN0002,PAY0002,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0,0.0,LEDGER_EXCEPTION,NOT_APPLICABLE,HIGH,INVESTIGATE_LEDGER,True,16452.59,16452.59,GW-189691,MATCHED,0.0,True,1,0,YES,1,0.9578,1,CRITICAL,Final status is LEDGER_EXCEPTION; Ledger status is PENDING
TXN0003,PAY0003,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,41110.22,41110.22,GW-297863,MATCHED,0.0,True,1,0,YES,0,0.0215,0,LOW,No major deterministic risk factor detected
TXN0004,PAY0074,DUPLICATE_PAYMENT,Matching payment was already assigned to another bank transaction,False,False,False,UNKNOWN,UNKNOWN,0.0,0.0,0.0,,DUPLICATE_PAYMENT,NOT_APPLICABLE,HIGH,MANUAL_REVIEW_DUPLICATE,True,38215.48,38215.48,GW-103613,DUPLICATE_PAYMENT,0.0,False,1,70,YES,1,0.9952,1,CRITICAL,Final status is DUPLICATE_PAYMENT
TXN0005,PAY0005,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,1616.7,1616.7,GW-746923,MATCHED,0.0,True,1,0,YES,0,0.0208,0,LOW,No major deterministic risk factor detected
TXN0006,PAY0006,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,69840.43,69840.43,GW-916889,MATCHED,0.0,True,1,0,YES,0,0.0219,0,LOW,No major deterministic risk factor detected
TXN0007,PAY0007,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,187773.26,187773.26,GW-285328,MATCHED,0.0,True,1,0,YES,0,0.024,0,LOW,No major deterministic risk factor detected
TXN0008,PAY0008,PAYMENT_REFUNDED,Payment gateway status is REFUNDED,True,True,True,POSTED,REFUNDED,0.0,0.0,0.0,0.0,PAYMENT_REFUNDED,NOT_APPLICABLE,HIGH,REVIEW_REFUND,True,168333.25,168333.25,GW-976238,MATCHED,0.0,True,1,0,YES,1,0.936,1,CRITICAL,Final status is PAYMENT_REFUNDED; Payment status is REFUNDED
TXN0009,PAY0009,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,32890.57,32890.57,GW-763949,MATCHED,0.0,True,1,0,YES,0,0.0278,0,LOW,No major deterministic risk factor detected
TXN0010,PAY0010,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ,False,False,False,UNKNOWN,UNKNOWN,0.0,0.0,0.0,,AMOUNT_MISMATCH,NOT_APPLICABLE,HIGH,INVESTIGATE_AMOUNT_DIFFERENCE,True,10973.57,21947.13,GW-779713,AMOUNT_MISMATCH,0.0,True,1,0,YES,1,0.9926,1,CRITICAL,Final status is AMOUNT_MISMATCH
TXN0011,PAY0011,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,179950.63,179950.63,GW-112324,MATCHED,0.0,True,1,0,YES,0,0.0239,0,LOW,No major deterministic risk factor detected
TXN0012,PAY0012,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,17456.51,17456.51,GW-200236,MATCHED,0.0,True,1,0,YES,0,0.0211,0,LOW,No major deterministic risk factor detected
TXN0013,PAY0013,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,6685.64,6685.64,GW-384032,MATCHED,0.0,True,1,0,YES,0,0.0272,0,LOW,No major deterministic risk factor detected
TXN0014,PAY0014,DATE_MISMATCH,Bank transaction date differs from payment date by 5 days,True,False,True,POSTED,SUCCESS,5.0,0.0,0.0,5.0,DATE_MISMATCH,MEDIUM,MEDIUM,MANUAL_REVIEW,True,39044.23,39044.23,GW-239706,MATCHED,0.0,True,1,0,YES,0,0.0605,0,LOW,No major deterministic risk factor detected
TXN0015,PAY0015,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0,2.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,86502.52,86502.52,GW-606039,MATCHED,0.0,True,1,0,YES,0,0.0331,0,LOW,No major deterministic risk factor detected
TXN0016,PAY0016,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,171118.82,171118.82,GW-738955,MATCHED,0.0,True,1,0,YES,0,0.0237,0,LOW,No major deterministic risk factor detected
TXN0017,PAY0017,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,173094.18,173094.18,GW-481415,MATCHED,0.0,True,1,0,YES,0,0.0237,0,LOW,No major deterministic risk factor detected
TXN0018,PAY0018,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,3779.34,3779.34,GW-393986,MATCHED,0.0,True,1,0,YES,0,0.0272,0,LOW,No major deterministic risk factor detected
TXN0019,PAY0186,DUPLICATE_PAYMENT,Matching payment was already assigned to another bank transaction,False,False,False,UNKNOWN,UNKNOWN,0.0,0.0,0.0,,DUPLICATE_PAYMENT,NOT_APPLICABLE,HIGH,MANUAL_REVIEW_DUPLICATE,True,15581.54,15581.54,GW-297042,DUPLICATE_PAYMENT,0.0,False,1,167,YES,1,0.9971,1,CRITICAL,Final status is DUPLICATE_PAYMENT
TXN0020,PAY0020,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,4550.59,4550.59,GW-714475,MATCHED,0.0,True,1,0,YES,0,0.0272,0,LOW,No major deterministic risk factor detected
TXN0021,PAY0021,DATE_MISMATCH,Bank transaction date differs from payment date by 22 days,True,False,True,POSTED,SUCCESS,22.0,0.0,0.0,22.0,DATE_MISMATCH,HIGH,HIGH,HIGH_PRIORITY_INVESTIGATION,True,159394.71,159394.71,GW-266213,MATCHED,0.0,True,1,0,YES,1,0.9742,1,CRITICAL,Date difference is 22 days
TXN0022,PAY0022,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,3229.74,3229.74,GW-849528,MATCHED,0.0,True,1,0,YES,0,0.0209,0,LOW,No major deterministic risk factor detected
TXN0023,PAY0023,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,60650.6,60650.6,GW-517649,MATCHED,0.0,True,1,0,YES,0,0.0218,0,LOW,No major deterministic risk factor detected
TXN0024,PAY0024,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,4069.99,4069.99,GW-891576,MATCHED,0.0,True,1,0,YES,0,0.0209,0,LOW,No major deterministic risk factor detected
TXN0025,PAY0025,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0,0.0,LEDGER_EXCEPTION,NOT_APPLICABLE,HIGH,INVESTIGATE_LEDGER,True,4758.83,4758.83,GW-691793,MATCHED,0.0,True,1,0,YES,1,0.9574,1,CRITICAL,Final status is LEDGER_EXCEPTION; Ledger status is PENDING
TXN0026,PAY0026,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,30052.23,30052.23,GW-885310,MATCHED,0.0,True,1,0,YES,0,0.0213,0,LOW,No major deterministic risk factor detected
TXN0027,PAY0027,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,19339.28,19339.28,GW-539214,MATCHED,0.0,True,1,0,YES,0,0.0275,0,LOW,No major deterministic risk factor detected
TXN0028,PAY0028,DATE_MISMATCH,Bank transaction date differs from payment date by 5 days,True,False,True,POSTED,SUCCESS,5.0,0.0,0.0,5.0,DATE_MISMATCH,MEDIUM,MEDIUM,MANUAL_REVIEW,True,12632.38,12632.38,GW-655260,MATCHED,0.0,True,1,0,YES,0,0.0593,0,LOW,No major deterministic risk factor detected
TXN0029,PAY0029,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,3111.55,3111.55,GW-944984,MATCHED,0.0,True,1,0,YES,0,0.0272,0,LOW,No major deterministic risk factor detected
TXN0030,PAY0030,DATE_MISMATCH,Bank transaction date differs from payment date by 96 days,True,False,True,POSTED,SUCCESS,96.0,0.0,0.0,96.0,DATE_MISMATCH,CRITICAL,CRITICAL,ESCALATE,True,4123.39,4123.39,GW-650210,MATCHED,0.0,True,1,0,YES,1,1.0,1,CRITICAL,Date difference is 96 days
TXN0031,PAY0031,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0,2.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,4113.83,4113.83,GW-981743,MATCHED,0.0,True,1,0,YES,0,0.0311,0,LOW,No major deterministic risk factor detected
TXN0032,PAY0032,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,58976.08,58976.08,GW-674046,MATCHED,0.0,True,1,0,YES,0,0.0218,0,LOW,No major deterministic risk factor detected
TXN0033,PAY0033,DATE_MISMATCH,Bank transaction date differs from payment date by 66 days,True,False,True,POSTED,SUCCESS,66.0,0.0,0.0,66.0,DATE_MISMATCH,CRITICAL,CRITICAL,ESCALATE,True,146705.82,146705.82,GW-279907,MATCHED,0.0,True,1,0,YES,1,0.9994,1,CRITICAL,Date difference is 66 days
TXN0034,PAY0034,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,6848.31,6848.31,GW-962732,MATCHED,0.0,True,1,0,YES,0,0.0209,0,LOW,No major deterministic risk factor detected
TXN0035,PAY0035,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,139762.26,139762.26,GW-637197,MATCHED,0.0,True,1,0,YES,0,0.0232,0,LOW,No major deterministic risk factor detected
TXN0036,PAY0036,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ,False,False,False,UNKNOWN,UNKNOWN,0.0,0.0,0.0,,AMOUNT_MISMATCH,NOT_APPLICABLE,HIGH,INVESTIGATE_AMOUNT_DIFFERENCE,True,16883.21,16893.21,GW-129939,AMOUNT_MISMATCH,0.0,True,1,0,YES,1,0.9925,1,CRITICAL,Final status is AMOUNT_MISMATCH
TXN0037,PAY0037,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0,1.0,SETTLEMENT_DELAY,LOW,LOW,VERIFY_SETTLEMENT_TIMING,True,4795.26,4795.26,GW-254804,MATCHED,0.0,True,1,0,YES,0,0.0272,0,LOW,No major deterministic risk factor detected
TXN0038,PAY0038,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,179833.65,179833.65,GW-387007,MATCHED,0.0,True,1,0,YES,0,0.0239,0,LOW,No major deterministic risk factor detected
TXN0039,PAY0039,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0,0.0,NO_EXCEPTION,NO_DATE_EXCEPTION,LOW,AUTO_RECONCILE,False,2612.75,2612.75,GW-833011,MATCHED,0.0,True,1,0,YES,0,0.0209,0,LOW,No major deterministic risk factor detected
