payment_id,invoice_id,customer_id,payment_date,amount,currency,gateway,gateway_reference,payment_method,payment_status,normalized_reference,normalized_amount,normalized_payment_date
PAY0001,INV0001,CUST0322,2026-04-16,194659.82,INR,Stripe,GW-188297,Card,SUCCESS,GW-188297,194659.82,2026-04-16
PAY0002,INV0002,CUST0274,2026-03-01,16452.59,INR,Razorpay,GW-189691,NetBanking,SUCCESS,GW-189691,16452.59,2026-03-01
PAY0003,INV0003,CUST0022,2026-06-02,41110.22,INR,Cashfree,GW-297863,UPI,SUCCESS,GW-297863,41110.22,2026-06-02
PAY0004,INV0004,CUST0416,2026-05-18,3748.91,INR,Razorpay,GW-DUP-0001,Card,SUCCESS,GW-DUP-0001,3748.91,2026-05-18
PAY0005,INV0005,CUST0079,2026-06-06,1616.7,INR,PayU,GW-746923,Card,SUCCESS,GW-746923,1616.7,2026-06-06
PAY0006,INV0006,CUST0062,2026-05-23,69840.43,INR,Razorpay,GW-916889,UPI,SUCCESS,GW-916889,69840.43,2026-05-23
PAY0007,INV0007,CUST0116,2026-02-16,187773.26,INR,PayU,GW-285328,NetBanking,SUCCESS,GW-285328,187773.26,2026-02-16
PAY0008,INV0008,CUST0210,2026-06-03,168333.25,INR,PayU,GW-976238,UPI,REFUNDED,GW-976238,168333.25,2026-06-03
PAY0009,INV0009,CUST0075,2026-05-22,32890.57,INR,Cashfree,GW-763949,Wallet,SUCCESS,GW-763949,32890.57,2026-05-22
PAY0010,INV0010,CUST0049,2026-06-26,21947.13,INR,PayU,GW-779713,Card,SUCCESS,GW-779713,21947.13,2026-06-26
PAY0011,INV0011,CUST0287,2026-07-02,179950.63,INR,PayU,GW-112324,UPI,SUCCESS,GW-112324,179950.63,2026-07-02
PAY0012,INV0012,CUST0010,2026-02-27,17456.51,INR,Razorpay,GW-200236,NetBanking,SUCCESS,GW-200236,17456.51,2026-02-27
PAY0013,INV0013,CUST0311,2026-06-22,6685.64,INR,Razorpay,GW-384032,Wallet,SUCCESS,GW-384032,6685.64,2026-06-22
PAY0014,INV0014,CUST0340,2026-03-29,39044.23,INR,Cashfree,GW-239706,UPI,SUCCESS,GW-239706,39044.23,2026-03-29
PAY0015,INV0015,CUST0189,2026-03-12,86502.52,INR,PayU,GW-606039,UPI,SUCCESS,GW-606039,86502.52,2026-03-12
PAY0016,INV0016,CUST0174,2026-04-08,171118.82,INR,Razorpay,GW-738955,NetBanking,SUCCESS,GW-738955,171118.82,2026-04-08
PAY0017,INV0017,CUST0220,2026-05-12,173094.18,INR,PayU,GW-481415,Wallet,SUCCESS,GW-481415,173094.18,2026-05-12
PAY0018,INV0018,CUST0283,2026-07-05,3779.34,INR,Razorpay,GW-393986,Card,SUCCESS,GW-393986,3779.34,2026-07-05
PAY0019,INV0019,CUST0235,2026-02-17,129670.07,INR,Razorpay,GW-DUP-0013,NetBanking,SUCCESS,GW-DUP-0013,129670.07,2026-02-17
PAY0020,INV0020,CUST0383,2026-04-15,4550.59,INR,PayU,GW-714475,Card,SUCCESS,GW-714475,4550.59,2026-04-15
PAY0021,INV0021,CUST0217,2026-06-20,159394.71,INR,PayU,GW-266213,Wallet,SUCCESS,GW-266213,159394.71,2026-06-20
PAY0022,INV0022,CUST0323,2026-04-23,3229.74,INR,PayU,GW-849528,NetBanking,SUCCESS,GW-849528,3229.74,2026-04-23
PAY0023,INV0023,CUST0222,2026-02-20,60650.6,INR,PayU,GW-517649,UPI,SUCCESS,GW-517649,60650.6,2026-02-20
PAY0024,INV0024,CUST0250,2026-02-10,4069.99,INR,PayU,GW-891576,Card,SUCCESS,GW-891576,4069.99,2026-02-10
PAY0025,INV0025,CUST0280,2026-05-15,4758.83,INR,Cashfree,GW-691793,UPI,SUCCESS,GW-691793,4758.83,2026-05-15
PAY0026,INV0026,CUST0012,2026-02-09,30052.23,INR,Razorpay,GW-885310,UPI,SUCCESS,GW-885310,30052.23,2026-02-09
PAY0027,INV0027,CUST0079,2026-03-24,19339.28,INR,PayU,GW-539214,UPI,SUCCESS,GW-539214,19339.28,2026-03-24
PAY0028,INV0028,CUST0394,2026-02-02,12632.38,INR,Razorpay,GW-655260,Wallet,SUCCESS,GW-655260,12632.38,2026-02-02
PAY0029,INV0029,CUST0393,2026-04-25,3111.55,INR,PayU,GW-944984,NetBanking,SUCCESS,GW-944984,3111.55,2026-04-25
PAY0030,INV0030,CUST0414,2026-01-31,4123.39,INR,Stripe,GW-650210,Card,SUCCESS,GW-650210,4123.39,2026-01-31
PAY0031,INV0031,CUST0112,2026-07-02,4113.83,INR,Cashfree,GW-981743,UPI,SUCCESS,GW-981743,4113.83,2026-07-02
PAY0032,INV0032,CUST0087,2026-06-16,58976.08,INR,Stripe,GW-674046,NetBanking,SUCCESS,GW-674046,58976.08,2026-06-16
PAY0033,INV0033,CUST0275,2026-04-16,146705.82,INR,Stripe,GW-279907,NetBanking,SUCCESS,GW-279907,146705.82,2026-04-16
PAY0034,INV0034,CUST0143,2026-06-19,6848.31,INR,Stripe,GW-962732,Wallet,SUCCESS,GW-962732,6848.31,2026-06-19
PAY0035,INV0035,CUST0282,2026-02-04,139762.26,INR,PayU,GW-637197,Card,SUCCESS,GW-637197,139762.26,2026-02-04
PAY0036,INV0036,CUST0060,2026-04-09,16893.21,INR,Razorpay,GW-129939,Card,SUCCESS,GW-129939,16893.21,2026-04-09
PAY0037,INV0037,CUST0242,2026-02-14,4795.26,INR,PayU,GW-254804,Wallet,SUCCESS,GW-254804,4795.26,2026-02-14
PAY0038,INV0038,CUST0196,2026-06-12,179833.65,INR,Cashfree,GW-387007,Wallet,SUCCESS,GW-387007,179833.65,2026-06-12
PAY0039,INV0039,CUST0379,2026-06-10,2612.75,INR,Stripe,GW-833011,Card,SUCCESS,GW-833011,2612.75,2026-06-10
PAY0040,INV0040,CUST0410,2026-01-30,60449.68,INR,Cashfree,GW-827299,Card,SUCCESS,GW-827299,60449.68,2026-01-30
PAY0041,INV0041,CUST0261,2026-03-22,21495.63,INR,Cashfree,GW-767277,Wallet,SUCCESS,GW-767277,21495.63,2026-03-22
PAY0042,INV0042,CUST0264,2026-04-02,79121.27,INR,PayU,GW-972078,Card,SUCCESS,GW-972078,79121.27,2026-04-02
PAY0043,INV0043,CUST0270,2026-04-22,176041.58,INR,Razorpay,GW-212187,NetBanking,SUCCESS,GW-212187,176041.58,2026-04-22
PAY0044,INV0044,CUST0202,2026-05-02,2459.51,INR,Stripe,GW-516855,UPI,SUCCESS,GW-516855,2459.51,2026-05-02
PAY0045,INV0045,CUST0121,2026-03-27,6934.26,INR,Cashfree,GW-204379,UPI,SUCCESS,GW-204379,6934.26,2026-03-27
PAY0046,INV0046,CUST0093,2026-02-05,2058.94,INR,Cashfree,GW-890193,NetBanking,SUCCESS,GW-890193,2058.94,2026-02-05
PAY0047,INV0047,CUST0449,2026-01-20,2740.43,INR,Stripe,GW-548947,UPI,SUCCESS,GW-548947,2740.43,2026-01-20
PAY0048,INV0048,CUST0180,2026-02-13,110975.23,INR,Stripe,GW-482619,UPI,SUCCESS,GW-482619,110975.23,2026-02-13
PAY0049,INV0049,CUST0440,2026-06-09,101753.71,INR,Razorpay,GW-682503,Card,SUCCESS,GW-682503,101753.71,2026-06-09
PAY0050,INV0050,CUST0437,2026-03-10,57481.25,INR,PayU,GW-215681,NetBanking,REFUNDED,GW-215681,57481.25,2026-03-10
PAY0051,INV0051,CUST0163,2026-06-18,135412.14,INR,Razorpay,GW-490729,Wallet,SUCCESS,GW-490729,135412.14,2026-06-18
PAY0052,INV0052,CUST0008,2026-04-05,81202.44,INR,Razorpay,GW-732490,UPI,SUCCESS,GW-732490,81202.44,2026-04-05
PAY0053,INV0053,CUST0222,2026-03-08,22295.29,INR,Razorpay,GW-339996,NetBanking,SUCCESS,GW-339996,22295.29,2026-03-08
PAY0054,INV0054,CUST0347,2026-06-07,92971.23,INR,Razorpay,GW-828496,UPI,SUCCESS,GW-828496,92971.23,2026-06-07
PAY0055,INV0055,CUST0226,2026-05-25,190671.09,INR,Razorpay,GW-534795,Card,SUCCESS,GW-534795,190671.09,2026-05-25
PAY0056,INV0056,CUST0025,2026-01-18,13251.73,INR,PayU,GW-916072,UPI,SUCCESS,GW-916072,13251.73,2026-01-18
PAY0057,INV0057,CUST0494,2026-04-29,33757.57,INR,Razorpay,GW-302713,Wallet,SUCCESS,GW-302713,33757.57,2026-04-29
PAY0058,INV0058,CUST0496,2026-01-22,40204.74,INR,Razorpay,GW-418384,UPI,SUCCESS,GW-418384,40204.74,2026-01-22
PAY0059,INV0059,CUST0179,2026-02-07,126841.45,INR,Stripe,GW-296780,NetBanking,SUCCESS,GW-296780,126841.45,2026-02-07
PAY0060,INV0060,CUST0305,2026-02-05,68899.66,INR,PayU,GW-596758,UPI,SUCCESS,GW-596758,68899.66,2026-02-05
PAY0061,INV0061,CUST0202,2026-01-29,129725.17,INR,PayU,GW-413148,NetBanking,SUCCESS,GW-413148,129725.17,2026-01-29
PAY0062,INV0062,CUST0047,2026-02-26,1411.56,INR,PayU,GW-198335,Card,SUCCESS,GW-198335,1411.56,2026-02-26
