transaction_id,payment_id,final_status,reason,amount_match,date_match,ledger_found,ledger_status,payment_status,date_difference,amount_difference,absolute_amount_difference
TXN0001,PAY0001,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0002,PAY0002,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0
TXN0003,PAY0003,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0004,PAY0074,DUPLICATE_PAYMENT,Matching payment was already assigned to another bank transaction,,,False,,,,,
TXN0005,PAY0005,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0006,PAY0006,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0007,PAY0007,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0008,PAY0008,PAYMENT_REFUNDED,Payment gateway status is REFUNDED,True,True,True,POSTED,REFUNDED,0.0,0.0,0.0
TXN0009,PAY0009,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0010,PAY0010,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ,False,,False,,,,,
TXN0011,PAY0011,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0012,PAY0012,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0013,PAY0013,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0014,PAY0014,DATE_MISMATCH,Bank transaction date differs from payment date by 5 days,True,False,True,POSTED,SUCCESS,5.0,0.0,0.0
TXN0015,PAY0015,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0016,PAY0016,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0017,PAY0017,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0018,PAY0018,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0019,PAY0186,DUPLICATE_PAYMENT,Matching payment was already assigned to another bank transaction,,,False,,,,,
TXN0020,PAY0020,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0021,PAY0021,DATE_MISMATCH,Bank transaction date differs from payment date by 22 days,True,False,True,POSTED,SUCCESS,22.0,0.0,0.0
TXN0022,PAY0022,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0023,PAY0023,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0024,PAY0024,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0025,PAY0025,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0
TXN0026,PAY0026,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0027,PAY0027,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0028,PAY0028,DATE_MISMATCH,Bank transaction date differs from payment date by 5 days,True,False,True,POSTED,SUCCESS,5.0,0.0,0.0
TXN0029,PAY0029,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0030,PAY0030,DATE_MISMATCH,Bank transaction date differs from payment date by 96 days,True,False,True,POSTED,SUCCESS,96.0,0.0,0.0
TXN0031,PAY0031,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0032,PAY0032,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0033,PAY0033,DATE_MISMATCH,Bank transaction date differs from payment date by 66 days,True,False,True,POSTED,SUCCESS,66.0,0.0,0.0
TXN0034,PAY0034,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0035,PAY0035,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0036,PAY0036,AMOUNT_MISMATCH,Bank reference matched a payment candidate but amounts differ,False,,False,,,,,
TXN0037,PAY0037,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0038,PAY0038,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0039,PAY0039,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0040,PAY0040,DATE_MISMATCH,Bank transaction date differs from payment date by 86 days,True,False,True,POSTED,SUCCESS,86.0,0.0,0.0
TXN0041,PAY0041,DATE_MISMATCH,Bank transaction date differs from payment date by 130 days,True,False,True,POSTED,SUCCESS,130.0,0.0,0.0
TXN0042,PAY0042,DATE_MISMATCH,Bank transaction date differs from payment date by 64 days,True,False,True,POSTED,SUCCESS,64.0,0.0,0.0
TXN0043,PAY0043,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0044,PAY0044,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0045,PAY0045,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0046,PAY0046,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0047,PAY0047,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0
TXN0048,PAY0048,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0049,PAY0049,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0050,PAY0050,PAYMENT_REFUNDED,Payment gateway status is REFUNDED,True,True,True,POSTED,REFUNDED,0.0,0.0,0.0
TXN0051,PAY0051,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0052,PAY0052,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0053,PAY0053,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0054,PAY0054,DATE_MISMATCH,Bank transaction date differs from payment date by 10 days,True,False,True,POSTED,SUCCESS,10.0,0.0,0.0
TXN0055,PAY0055,DATE_MISMATCH,Bank transaction date differs from payment date by 5 days,True,False,True,POSTED,SUCCESS,5.0,0.0,0.0
TXN0056,PAY0056,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0057,PAY0057,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0058,PAY0058,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0059,PAY0059,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0
TXN0060,PAY0060,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0061,PAY0061,LEDGER_EXCEPTION,Ledger entry exists but posting status is PENDING,True,True,True,PENDING,SUCCESS,0.0,0.0,0.0
TXN0062,PAY0062,DATE_MISMATCH,Bank transaction date differs from payment date by 24 days,True,False,True,POSTED,SUCCESS,24.0,0.0,0.0
TXN0063,PAY0063,DATE_MISMATCH,Bank transaction date differs from payment date by 4 days,True,False,True,POSTED,SUCCESS,4.0,0.0,0.0
TXN0064,PAY0064,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0065,PAY0065,DATE_MISMATCH,Bank transaction date differs from payment date by 13 days,True,False,True,POSTED,SUCCESS,13.0,0.0,0.0
TXN0066,PAY0066,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0067,PAY0067,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0068,PAY0068,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0069,PAY0069,PAYMENT_FAILED,Payment gateway status is FAILED,True,True,True,POSTED,FAILED,0.0,0.0,0.0
TXN0070,PAY0070,DATE_MISMATCH,Bank transaction date differs from payment date by 1 days,True,False,True,POSTED,SUCCESS,1.0,0.0,0.0
TXN0071,PAY0071,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0072,PAY0072,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0073,PAY0073,DATE_MISMATCH,Bank transaction date differs from payment date by 2 days,True,False,True,POSTED,SUCCESS,2.0,0.0,0.0
TXN0074,PAY0074,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
TXN0075,PAY0075,MATCHED,"Amount, date, payment status and ledger validation passed",True,True,True,POSTED,SUCCESS,0.0,0.0,0.0
