transaction_id,transaction_date,value_date,amount,currency,description,reference,account_id,transaction_type
TXN0001,2026-04-18,2026-04-18,194659.82,INR,NEFT CR-GW-188297-Stripe SETTLEMENT-CUST0322,CMS/GW-188297/STRIPE/CUST0322,BANK001,CREDIT
TXN0002,2026-03-01,2026-03-02,16452.59,INR,NEFT CR-GW-189691-Razorpay SETTLEMENT-CUST0274,CMS/GW-189691/RAZORPAY/CUST0274,BANK002,CREDIT
TXN0003,2026-06-02,2026-06-03,41110.22,INR,NEFT CR-GW-297863-Cashfree SETTLEMENT-CUST0022,CMS/GW-297863/CASHFREE/CUST0022,BANK002,CREDIT
TXN0004,2026-01-21,2026-01-22,38215.48,INR,NEFT CR-GW-103613-Stripe SETTLEMENT-CUST0043,CMS/GW-103613/STRIPE/CUST0043,BANK003,CREDIT
TXN0005,2026-06-06,2026-06-07,1616.7,INR,NEFT CR-GW-746923-PayU SETTLEMENT-CUST0079,CMS/GW-746923/PAYU/CUST0079,BANK002,CREDIT
TXN0006,2026-05-23,2026-05-24,69840.43,INR,NEFT CR-GW-916889-Razorpay SETTLEMENT-CUST0062,CMS/GW-916889/RAZORPAY/CUST0062,BANK003,CREDIT
TXN0007,2026-02-16,2026-02-16,187773.26,INR,NEFT CR-GW-285328-PayU SETTLEMENT-CUST0116,CMS/GW-285328/PAYU/CUST0116,BANK002,CREDIT
TXN0008,2026-06-03,2026-06-04,168333.25,INR,NEFT CR-GW-976238-PayU SETTLEMENT-CUST0210,CMS/GW-976238/PAYU/CUST0210,BANK002,CREDIT
TXN0009,2026-05-23,2026-05-24,32890.57,INR,NEFT CR-GW-763949-Cashfree SETTLEMENT-CUST0075,CMS/GW-763949/CASHFREE/CUST0075,BANK002,CREDIT
TXN0010,2026-06-26,2026-06-26,10973.57,INR,NEFT CR-GW-779713-PayU SETTLEMENT-CUST0049,CMS/GW-779713/PAYU/CUST0049,BANK002,CREDIT
TXN0011,2026-07-02,2026-07-02,179950.63,INR,NEFT CR-GW-112324-PayU SETTLEMENT-CUST0287,CMS/GW-112324/PAYU/CUST0287,BANK002,CREDIT
TXN0012,2026-02-27,2026-02-27,17456.51,INR,NEFT CR-GW-200236-Razorpay SETTLEMENT-CUST0010,CMS/GW-200236/RAZORPAY/CUST0010,BANK001,CREDIT
TXN0013,2026-06-23,2026-06-23,6685.64,INR,NEFT CR-GW-384032-Razorpay SETTLEMENT-CUST0311,CMS/GW-384032/RAZORPAY/CUST0311,BANK003,CREDIT
