invoice_id,customer_id,invoice_date,due_date,invoice_amount,currency,description,invoice_status
INV0001,CUST0322,2026-04-16,2026-05-01,194659.82,INR,Logistics & Freight Services,Paid
INV0002,CUST0274,2026-02-25,2026-04-11,16452.59,INR,Cybersecurity Audit,Paid
INV0003,CUST0022,2026-06-01,2026-07-16,41110.22,INR,Annual Maintenance Contract,Paid
INV0004,CUST0416,2026-05-18,2026-06-02,3748.91,INR,Cloud Infrastructure Hosting,Paid
INV0005,CUST0079,2026-06-03,2026-07-18,1616.7,INR,Cloud Infrastructure Hosting,Paid
INV0006,CUST0062,2026-05-23,2026-07-07,69840.43,INR,Data Analytics Module,Paid
INV0007,CUST0116,2026-02-13,2026-03-15,187773.26,INR,Data Analytics Module,Paid
INV0008,CUST0210,2026-06-01,2026-07-01,168333.25,INR,Logistics & Freight Services,Pending
INV0009,CUST0075,2026-05-20,2026-07-04,32890.57,INR,Cybersecurity Audit,Paid
INV0010,CUST0049,2026-06-23,2026-07-23,21947.13,INR,SaaS Subscription,Partially_Paid
INV0011,CUST0287,2026-06-29,2026-07-29,179950.63,INR,Enterprise License Fee,Paid
INV0012,CUST0010,2026-02-23,2026-03-25,17456.51,INR,Logistics & Freight Services,Paid
INV0013,CUST0311,2026-06-22,2026-07-07,6685.64,INR,SaaS Subscription,Paid
INV0014,CUST0340,2026-03-29,2026-04-28,39044.23,INR,Data Analytics Module,Paid
INV0015,CUST0189,2026-03-12,2026-04-26,86502.52,INR,API Integration Fee,Paid
INV0016,CUST0174,2026-04-03,2026-04-18,171118.82,INR,SaaS Subscription,Paid
INV0017,CUST0220,2026-05-11,2026-06-25,173094.18,INR,API Integration Fee,Paid
INV0018,CUST0283,2026-06-30,2026-07-15,3779.34,INR,IT Consulting Services,Paid
INV0019,CUST0235,2026-02-13,2026-02-28,129670.07,INR,API Integration Fee,Paid
INV0020,CUST0383,2026-04-15,2026-04-30,4550.59,INR,Logistics & Freight Services,Paid
INV0021,CUST0217,2026-06-19,2026-07-19,159394.71,INR,Cybersecurity Audit,Paid
INV0022,CUST0323,2026-04-23,2026-06-07,3229.74,INR,Cloud Infrastructure Hosting,Paid
INV0023,CUST0222,2026-02-18,2026-03-20,60650.6,INR,Data Analytics Module,Paid
INV0024,CUST0250,2026-02-05,2026-02-20,4069.99,INR,Cloud Infrastructure Hosting,Paid
INV0025,CUST0280,2026-05-15,2026-06-29,4758.83,INR,Cybersecurity Audit,Paid
INV0026,CUST0012,2026-02-09,2026-03-11,30052.23,INR,Annual Maintenance Contract,Paid
INV0027,CUST0079,2026-03-20,2026-04-19,19339.28,INR,Data Analytics Module,Paid
INV0028,CUST0394,2026-01-30,2026-03-16,12632.38,INR,IT Consulting Services,Paid
INV0029,CUST0393,2026-04-21,2026-06-05,3111.55,INR,Annual Maintenance Contract,Paid
INV0030,CUST0414,2026-01-29,2026-02-13,4123.39,INR,Logistics & Freight Services,Paid
INV0031,CUST0112,2026-06-30,2026-08-14,4113.83,INR,Enterprise License Fee,Paid
INV0032,CUST0087,2026-06-16,2026-07-01,58976.08,INR,Data Analytics Module,Paid
INV0033,CUST0275,2026-04-11,2026-05-11,146705.82,INR,IT Consulting Services,Paid
INV0034,CUST0143,2026-06-15,2026-07-30,6848.31,INR,IT Consulting Services,Paid
INV0035,CUST0282,2026-01-30,2026-02-14,139762.26,INR,Cloud Infrastructure Hosting,Paid
INV0036,CUST0060,2026-04-07,2026-04-22,16893.21,INR,IT Consulting Services,Paid
INV0037,CUST0242,2026-02-10,2026-03-27,4795.26,INR,Digital Marketing Campaign,Paid
INV0038,CUST0196,2026-06-12,2026-07-27,179833.65,INR,Data Analytics Module,Paid
INV0039,CUST0379,2026-06-09,2026-07-09,2612.75,INR,Cybersecurity Audit,Paid
INV0040,CUST0410,2026-01-26,2026-02-10,60449.68,INR,Logistics & Freight Services,Paid
INV0041,CUST0261,2026-03-19,2026-04-03,21495.63,INR,SaaS Subscription,Paid
INV0042,CUST0264,2026-03-28,2026-05-12,79121.27,INR,Cybersecurity Audit,Paid
INV0043,CUST0270,2026-04-20,2026-05-20,176041.58,INR,Enterprise License Fee,Paid
INV0044,CUST0202,2026-05-02,2026-05-17,2459.51,INR,Data Analytics Module,Paid
INV0045,CUST0121,2026-03-24,2026-04-23,6934.26,INR,Enterprise License Fee,Paid
INV0046,CUST0093,2026-02-01,2026-02-16,2058.94,INR,Cloud Infrastructure Hosting,Paid
INV0047,CUST0449,2026-01-17,2026-02-16,2740.43,INR,Digital Marketing Campaign,Paid
INV0048,CUST0180,2026-02-13,2026-02-28,110975.23,INR,Cybersecurity Audit,Paid
INV0049,CUST0440,2026-06-07,2026-07-22,101753.71,INR,API Integration Fee,Paid
