payment_id,invoice_id,customer_id,payment_date,amount,currency,gateway,gateway_reference,payment_method,payment_status
PAY0001,INV0001,CUST0322,2026-04-16,194659.82,INR,Stripe,GW-188297,Card,SUCCESS
PAY0002,INV0002,CUST0274,2026-03-01,16452.59,INR,Razorpay,GW-189691,NetBanking,SUCCESS
PAY0003,INV0003,CUST0022,2026-06-02,41110.22,INR,Cashfree,GW-297863,UPI,SUCCESS
PAY0004,INV0004,CUST0416,2026-05-18,3748.91,INR,Razorpay,GW-DUP-0001,Card,SUCCESS
PAY0005,INV0005,CUST0079,2026-06-06,1616.7,INR,PayU,GW-746923,Card,SUCCESS
PAY0006,INV0006,CUST0062,2026-05-23,69840.43,INR,Razorpay,GW-916889,UPI,SUCCESS
PAY0007,INV0007,CUST0116,2026-02-16,187773.26,INR,PayU,GW-285328,NetBanking,SUCCESS
PAY0008,INV0008,CUST0210,2026-06-03,168333.25,INR,PayU,GW-976238,UPI,REFUNDED
PAY0009,INV0009,CUST0075,2026-05-22,32890.57,INR,Cashfree,GW-763949,Wallet,SUCCESS
PAY0010,INV0010,CUST0049,2026-06-26,21947.13,INR,PayU,GW-779713,Card,SUCCESS
PAY0011,INV0011,CUST0287,2026-07-02,179950.63,INR,PayU,GW-112324,UPI,SUCCESS
PAY0012,INV0012,CUST0010,2026-02-27,17456.51,INR,Razorpay,GW-200236,NetBanking,SUCCESS
PAY0013,INV0013,CUST0311,2026-06-22,6685.64,INR,Razorpay,GW-384032,Wallet,SUCCESS
PAY0014,INV0014,CUST0340,2026-03-29,39044.23,INR,Cashfree,GW-239706,UPI,SUCCESS
PAY0015,INV0015,CUST0189,2026-03-12,86502.52,INR,PayU,GW-606039,UPI,SUCCESS
PAY0016,INV0016,CUST0174,2026-04-08,171118.82,INR,Razorpay,GW-738955,NetBanking,SUCCESS
PAY0017,INV0017,CUST0220,2026-05-12,173094.18,INR,PayU,GW-481415,Wallet,SUCCESS
PAY0018,INV0018,CUST0283,2026-07-05,3779.34,INR,Razorpay,GW-393986,Card,SUCCESS
PAY0019,INV0019,CUST0235,2026-02-17,129670.07,INR,Razorpay,GW-DUP-0013,NetBanking,SUCCESS
PAY0020,INV0020,CUST0383,2026-04-15,4550.59,INR,PayU,GW-714475,Card,SUCCESS
PAY0021,INV0021,CUST0217,2026-06-20,159394.71,INR,PayU,GW-266213,Wallet,SUCCESS
PAY0022,INV0022,CUST0323,2026-04-23,3229.74,INR,PayU,GW-849528,NetBanking,SUCCESS
PAY0023,INV0023,CUST0222,2026-02-20,60650.6,INR,PayU,GW-517649,UPI,SUCCESS
PAY0024,INV0024,CUST0250,2026-02-10,4069.99,INR,PayU,GW-891576,Card,SUCCESS
PAY0025,INV0025,CUST0280,2026-05-15,4758.83,INR,Cashfree,GW-691793,UPI,SUCCESS
PAY0026,INV0026,CUST0012,2026-02-09,30052.23,INR,Razorpay,GW-885310,UPI,SUCCESS
PAY0027,INV0027,CUST0079,2026-03-24,19339.28,INR,PayU,GW-539214,UPI,SUCCESS
PAY0028,INV0028,CUST0394,2026-02-02,12632.38,INR,Razorpay,GW-655260,Wallet,SUCCESS
PAY0029,INV0029,CUST0393,2026-04-25,3111.55,INR,PayU,GW-944984,NetBanking,SUCCESS
PAY0030,INV0030,CUST0414,2026-01-31,4123.39,INR,Stripe,GW-650210,Card,SUCCESS
PAY0031,INV0031,CUST0112,2026-07-02,4113.83,INR,Cashfree,GW-981743,UPI,SUCCESS
PAY0032,INV0032,CUST0087,2026-06-16,58976.08,INR,Stripe,GW-674046,NetBanking,SUCCESS
PAY0033,INV0033,CUST0275,2026-04-16,146705.82,INR,Stripe,GW-279907,NetBanking,SUCCESS
PAY0034,INV0034,CUST0143,2026-06-19,6848.31,INR,Stripe,GW-962732,Wallet,SUCCESS
PAY0035,INV0035,CUST0282,2026-02-04,139762.26,INR,PayU,GW-637197,Card,SUCCESS
PAY0036,INV0036,CUST0060,2026-04-09,16893.21,INR,Razorpay,GW-129939,Card,SUCCESS
PAY0037,INV0037,CUST0242,2026-02-14,4795.26,INR,PayU,GW-254804,Wallet,SUCCESS
PAY0038,INV0038,CUST0196,2026-06-12,179833.65,INR,Cashfree,GW-387007,Wallet,SUCCESS
PAY0039,INV0039,CUST0379,2026-06-10,2612.75,INR,Stripe,GW-833011,Card,SUCCESS
PAY0040,INV0040,CUST0410,2026-01-30,60449.68,INR,Cashfree,GW-827299,Card,SUCCESS
PAY0041,INV0041,CUST0261,2026-03-22,21495.63,INR,Cashfree,GW-767277,Wallet,SUCCESS
PAY0042,INV0042,CUST0264,2026-04-02,79121.27,INR,PayU,GW-972078,Card,SUCCESS
PAY0043,INV0043,CUST0270,2026-04-22,176041.58,INR,Razorpay,GW-212187,NetBanking,SUCCESS
PAY0044,INV0044,CUST0202,2026-05-02,2459.51,INR,Stripe,GW-516855,UPI,SUCCESS
PAY0045,INV0045,CUST0121,2026-03-27,6934.26,INR,Cashfree,GW-204379,UPI,SUCCESS
PAY0046,INV0046,CUST0093,2026-02-05,2058.94,INR,Cashfree,GW-890193,NetBanking,SUCCESS
PAY0047,INV0047,CUST0449,2026-01-20,2740.43,INR,Stripe,GW-548947,UPI,SUCCESS
