feature,importance
categorical__date_severity_NOT_APPLICABLE,2.514083553123133
categorical__date_severity_HIGH,2.463258105893617
numeric__date_difference,2.169189668367018
categorical__date_severity_NO_DATE_EXCEPTION,2.0273693812114826
categorical__date_severity_LOW,1.6959197936264072
categorical__date_severity_MEDIUM,1.4465708196846985
categorical__payment_status_SUCCESS,1.4448031263697096
categorical__ledger_status_POSTED,1.3511238826619831
categorical__ledger_status_PENDING,1.066981112549019
categorical__payment_status_FAILED,0.7440187090714022
categorical__payment_status_REFUNDED,0.4166416471853427
categorical__ledger_status_UNKNOWN,0.28644208431736984
categorical__payment_status_UNKNOWN,0.28644208431736984
boolean__ledger_found,0.2841427701129648
boolean__amount_match,0.2841427701129648
